epoch  54/100 | train 0.000190 | val 0.000205 | val PSNR 40.84
epoch  55/100 | train 0.000174 | val 0.000174 | val PSNR 41.49 *
epoch  56/100 | train 0.000165 | val 0.000191 | val PSNR 41.20
epoch  57/100 | train 0.000162 | val 0.000179 | val PSNR 41.35
epoch  58/100 | train 0.000161 | val 0.000245 | val PSNR 40.09
epoch  59/100 | train 0.000160 | val 0.000181 | val PSNR 41.25
epoch  60/100 | train 0.000157 | val 0.000175 | val PSNR 41.49
epoch  61/100 | train 0.000157 | val 0.000166 | val PSNR 41.69 *
epoch  62/100 | train 0.000156 | val 0.000256 | val PSNR 39.87
epoch  63/100 | train 0.000153 | val 0.000156 | val PSNR 41.90 *
epoch  64/100 | train 0.000150 | val 0.000162 | val PSNR 41.80
epoch  65/100 | train 0.000151 | val 0.000181 | val PSNR 41.31
epoch  66/100 | train 0.000148 | val 0.000253 | val PSNR 39.68
epoch  67/100 | train 0.000148 | val 0.000197 | val PSNR 41.06
epoch  68/100 | train 0.000154 | val 0.000236 | val PSNR 40.28
epoch  69/100 | train 0.000143 | val 0.000160 | val PSNR 41.86
epoch  70/100 | train 0.000150 | val 0.000153 | val PSNR 41.98 *
epoch  71/100 | train 0.000143 | val 0.000679 | val PSNR 36.11
epoch  72/100 | train 0.000157 | val 0.000148 | val PSNR 42.17 *
epoch  73/100 | train 0.000139 | val 0.000166 | val PSNR 41.66
epoch  74/100 | train 0.000141 | val 0.000169 | val PSNR 41.63
epoch  75/100 | train 0.000139 | val 0.000164 | val PSNR 41.75
epoch  76/100 | train 0.000139 | val 0.000191 | val PSNR 41.13
epoch  77/100 | train 0.000138 | val 0.000147 | val PSNR 42.19 *
epoch  78/100 | train 0.000141 | val 0.000188 | val PSNR 41.18
epoch  79/100 | train 0.000136 | val 0.000193 | val PSNR 41.13
epoch  80/100 | train 0.000134 | val 0.000229 | val PSNR 40.35
epoch  81/100 | train 0.000135 | val 0.000174 | val PSNR 41.58
epoch  82/100 | train 0.000134 | val 0.000156 | val PSNR 41.90
epoch  83/100 | train 0.000132 | val 0.000146 | val PSNR 42.15 *
epoch  84/100 | train 0.000133 | val 0.000156 | val PSNR 41.95
epoch  85/100 | train 0.000132 | val 0.000142 | val PSNR 42.29 *
epoch  86/100 | train 0.000132 | val 0.000165 | val PSNR 41.75
epoch  87/100 | train 0.000131 | val 0.000223 | val PSNR 40.46
epoch  88/100 | train 0.000130 | val 0.000145 | val PSNR 42.18
epoch  89/100 | train 0.000129 | val 0.000141 | val PSNR 42.37 *
epoch  90/100 | train 0.000133 | val 0.000141 | val PSNR 42.41
epoch  91/100 | train 0.000127 | val 0.000143 | val PSNR 42.36
epoch  92/100 | train 0.000127 | val 0.000177 | val PSNR 41.27
epoch  93/100 | train 0.000132 | val 0.000158 | val PSNR 41.95
epoch  94/100 | train 0.000125 | val 0.000138 | val PSNR 42.47 *
epoch  95/100 | train 0.000126 | val 0.000139 | val PSNR 42.47
epoch  96/100 | train 0.000126 | val 0.000145 | val PSNR 42.21
epoch  97/100 | train 0.000126 | val 0.000184 | val PSNR 41.33
epoch  98/100 | train 0.000125 | val 0.000218 | val PSNR 40.54
