run_id,name,method,model,num_stages,channels,share_weights,use_bn,use_residual,rho_init,mask,sampling_ratio,loss,epochs,lr,optimizer,weight_decay,seed,split,metric,value,std
comparison_0592bb5ea2,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,1,test,psnr_imag,30.839243198538423,2.148736220897032
comparison_0592bb5ea2,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,1,test,ssim_real,0.5495570241532066,0.0384941045018988
comparison_0592bb5ea2,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,1,test,ssim_imag,0.330610309310538,0.0654125475464479
comparison_0592bb5ea2,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,1,test,nmse,0.2797102745793853,0.0248478558062702
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,val,psnr_real,20.26017693338414,2.018847720522646
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,val,psnr_imag,39.49072786462581,1.9384060588092933
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,val,ssim_real,0.3033875753959186,0.0830973943224138
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,val,ssim_imag,0.7883615287211344,0.0656959109664157
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,val,nmse,0.9596801929035864,0.0180161678900904
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,psnr_real,20.21309342244679,1.8881687567032883
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,psnr_imag,39.557747908715925,1.914918513591742
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,ssim_real,0.3093142611711095,0.0819802419985938
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,ssim_imag,0.7916825830188257,0.0639191885807399
comparison_527bb4969c,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,nmse,0.9611926399264874,0.0155935361182937
comparison_527bb4969c,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,psnr_real,20.22555370011589,1.889175777325092
comparison_527bb4969c,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,psnr_imag,40.40457013660894,1.997788508077676
comparison_527bb4969c,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,ssim_real,0.3136392852377193,0.0813966035904043
comparison_527bb4969c,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,ssim_imag,0.8120117357086437,0.0608396214849232
comparison_527bb4969c,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.2,mse_l1,40,0.0005,adam,0.0,2,test,nmse,0.9564093487282678,0.0161434595237574
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,val,psnr_real,21.65631918220281,1.9848626108317813
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,val,psnr_imag,30.40723970289768,2.180203906066347
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,val,ssim_real,0.2968980984330675,0.0805509208919788
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,val,ssim_imag,0.3430762775942279,0.0767808385377631
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,val,nmse,0.7806685849370937,0.0278399292445106
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,psnr_real,21.614811482289845,1.8475603479248488
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,psnr_imag,30.34846062440753,2.083990510357068
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,ssim_real,0.3023923927115347,0.0797008776122013
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,ssim_imag,0.3456427929104621,0.0735321701523488
comparison_83d27c9d40,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,nmse,0.7815186826504424,0.0256011360201117
comparison_83d27c9d40,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,psnr_real,21.60755972682681,1.8443774653523937
comparison_83d27c9d40,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,psnr_imag,30.377767107975533,2.0848292233403383
comparison_83d27c9d40,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,ssim_real,0.3017083461158694,0.0797648775165876
comparison_83d27c9d40,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,ssim_imag,0.3461612068023142,0.0740118258339385
comparison_83d27c9d40,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,0,test,nmse,0.7820399040706986,0.025187587939406
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,val,psnr_real,20.354876990109247,2.043495468467484
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,val,psnr_imag,39.04103448346164,1.878640704082868
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,val,ssim_real,0.2907904456359857,0.0857041714028639
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,val,ssim_imag,0.7967542678677713,0.0625559151342591
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,val,nmse,0.9408545944536404,0.0274000642906561
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,psnr_real,20.30279832504783,1.9054162968421369
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,psnr_imag,39.09453854101971,1.8704570131914728
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,ssim_real,0.2971302313441761,0.0846910488313224
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,ssim_imag,0.7993366350439303,0.0624852547021661
comparison_1f7e28a0dc,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,nmse,0.9432999928127273,0.0235368207602901
comparison_1f7e28a0dc,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,psnr_real,20.31666323530125,1.906408817830625
comparison_1f7e28a0dc,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,psnr_imag,39.97213393175452,1.983742244492961
comparison_1f7e28a0dc,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,ssim_real,0.2990117853343736,0.0846932566866857
comparison_1f7e28a0dc,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,ssim_imag,0.8208317710515346,0.0608276045308018
comparison_1f7e28a0dc,comparison,zero_filled,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.3,mse_l1,40,0.0005,adam,0.0,2,test,nmse,0.9379940850964152,0.0237486553386381
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,val,psnr_real,22.445565711481336,2.021336769032504
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,val,psnr_imag,38.288614348728125,1.769175033191803
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,val,ssim_real,0.3857595150928656,0.081682555951884
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,val,ssim_imag,0.708596780553989,0.0657852073278218
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,val,nmse,0.5903430218363107,0.0497422009016925
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,test,psnr_real,22.400857534368665,1.8654832843125364
comparison_8b0b8940ee,comparison,classical_cs,classical_cs,8,64,False,True,True,0.1,gaussian1d,0.5,mse_l1,40,0.0005,adam,0.0,0,test,psnr_imag,38.303052367525616,1.7674702371235618
